INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
Eastern,delivered coal,delivered coal,delivered coal,2010,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2010,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2010,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2010,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2010,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2015,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2015,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2015,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2015,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2015,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2020,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2020,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2020,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2020,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2020,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2025,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2025,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2025,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2025,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2025,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2030,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2030,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2030,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2030,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2030,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2035,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2035,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2035,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2035,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2035,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2040,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2040,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2040,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2040,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2040,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2045,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2045,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2045,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2045,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2045,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2050,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2050,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2050,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2050,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2050,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2055,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2055,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2055,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2055,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2055,tax,0.092236992
Eastern,delivered coal,delivered coal,delivered coal,2060,tax,0.633524092
North-Eastern,delivered coal,delivered coal,delivered coal,2060,tax,0.844279005
Northern,delivered coal,delivered coal,delivered coal,2060,tax,0.447712595
Southern,delivered coal,delivered coal,delivered coal,2060,tax,-0.027908358
Western,delivered coal,delivered coal,delivered coal,2060,tax,0.092236992
