INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndTechInterp_new,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
AN,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
AP,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
AR,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
AS,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
BR,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
CG,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
CH,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
DD,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
DL,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
DN,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
GA,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
GJ,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
HP,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
HR,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
JH,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
JK,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
KA,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
KL,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
LA,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
LD,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
MH,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
ML,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
MN,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
MP,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
MZ,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
NL,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
OD,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
PB,Chem_Fert_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
