INPUT_TABLE
Variable ID
RegionIntTechCapital

region,supplysector,subsector,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate
AN,electricity,solar,CSP,1975,capital,599,0.1125
AP,electricity,solar,CSP,1975,capital,599,0.1125
AR,electricity,solar,CSP,1975,capital,599,0.1125
AS,electricity,solar,CSP,1975,capital,599,0.1125
BR,electricity,solar,CSP,1975,capital,599,0.1125
CG,electricity,solar,CSP,1975,capital,599,0.1125
CH,electricity,solar,CSP,1975,capital,599,0.1125
DD,electricity,solar,CSP,1975,capital,599,0.1125
DL,electricity,solar,CSP,1975,capital,599,0.1125
DN,electricity,solar,CSP,1975,capital,599,0.1125
GA,electricity,solar,CSP,1975,capital,599,0.1125
GJ,electricity,solar,CSP,1975,capital,599,0.1125
HP,electricity,solar,CSP,1975,capital,599,0.1125
HR,electricity,solar,CSP,1975,capital,599,0.1125
JH,electricity,solar,CSP,1975,capital,599,0.1125
JK,electricity,solar,CSP,1975,capital,599,0.1125
KA,electricity,solar,CSP,1975,capital,599,0.1125
KL,electricity,solar,CSP,1975,capital,599,0.1125
LA,electricity,solar,CSP,1975,capital,599,0.1125
LD,electricity,solar,CSP,1975,capital,599,0.1125
MH,electricity,solar,CSP,1975,capital,599,0.1125
ML,electricity,solar,CSP,1975,capital,599,0.1125
MN,electricity,solar,CSP,1975,capital,599,0.1125
MP,electricity,solar,CSP,1975,capital,599,0.1125
MZ,electricity,solar,CSP,1975,capital,599,0.1125
NL,electricity,solar,CSP,1975,capital,599,0.1125
OD,electricity,solar,CSP,1975,capital,599,0.1125
PB,electricity,solar,CSP,1975,capital,599,0.1125
PC,electricity,solar,CSP,1975,capital,599,0.1125
RJ,electricity,solar,CSP,1975,capital,599,0.1125
SK,electricity,solar,CSP,1975,capital,599,0.1125
TN,electricity,solar,CSP,1975,capital,599,0.1125
TR,electricity,solar,CSP,1975,capital,599,0.1125
TS,electricity,solar,CSP,1975,capital,599,0.1125
UK,electricity,solar,CSP,1975,capital,599,0.1125
UP,electricity,solar,CSP,1975,capital,599,0.1125
WB,electricity,solar,CSP,1975,capital,599,0.1125
AN,electricity,solar,CSP,1990,capital,599,0.1125
AP,electricity,solar,CSP,1990,capital,599,0.1125
AR,electricity,solar,CSP,1990,capital,599,0.1125
AS,electricity,solar,CSP,1990,capital,599,0.1125
BR,electricity,solar,CSP,1990,capital,599,0.1125
CG,electricity,solar,CSP,1990,capital,599,0.1125
CH,electricity,solar,CSP,1990,capital,599,0.1125
DD,electricity,solar,CSP,1990,capital,599,0.1125
DL,electricity,solar,CSP,1990,capital,599,0.1125
DN,electricity,solar,CSP,1990,capital,599,0.1125
GA,electricity,solar,CSP,1990,capital,599,0.1125
GJ,electricity,solar,CSP,1990,capital,599,0.1125
HP,electricity,solar,CSP,1990,capital,599,0.1125
HR,electricity,solar,CSP,1990,capital,599,0.1125
JH,electricity,solar,CSP,1990,capital,599,0.1125
JK,electricity,solar,CSP,1990,capital,599,0.1125
KA,electricity,solar,CSP,1990,capital,599,0.1125
KL,electricity,solar,CSP,1990,capital,599,0.1125
LA,electricity,solar,CSP,1990,capital,599,0.1125
LD,electricity,solar,CSP,1990,capital,599,0.1125
MH,electricity,solar,CSP,1990,capital,599,0.1125
ML,electricity,solar,CSP,1990,capital,599,0.1125
MN,electricity,solar,CSP,1990,capital,599,0.1125
MP,electricity,solar,CSP,1990,capital,599,0.1125
MZ,electricity,solar,CSP,1990,capital,599,0.1125
NL,electricity,solar,CSP,1990,capital,599,0.1125
OD,electricity,solar,CSP,1990,capital,599,0.1125
PB,electricity,solar,CSP,1990,capital,599,0.1125
PC,electricity,solar,CSP,1990,capital,599,0.1125
RJ,electricity,solar,CSP,1990,capital,599,0.1125
SK,electricity,solar,CSP,1990,capital,599,0.1125
TN,electricity,solar,CSP,1990,capital,599,0.1125
TR,electricity,solar,CSP,1990,capital,599,0.1125
TS,electricity,solar,CSP,1990,capital,599,0.1125
UK,electricity,solar,CSP,1990,capital,599,0.1125
UP,electricity,solar,CSP,1990,capital,599,0.1125
WB,electricity,solar,CSP,1990,capital,599,0.1125
AN,electricity,solar,CSP,2005,capital,599,0.1125
AP,electricity,solar,CSP,2005,capital,599,0.1125
AR,electricity,solar,CSP,2005,capital,599,0.1125
AS,electricity,solar,CSP,2005,capital,599,0.1125
BR,electricity,solar,CSP,2005,capital,599,0.1125
CG,electricity,solar,CSP,2005,capital,599,0.1125
CH,electricity,solar,CSP,2005,capital,599,0.1125
DD,electricity,solar,CSP,2005,capital,599,0.1125
DL,electricity,solar,CSP,2005,capital,599,0.1125
DN,electricity,solar,CSP,2005,capital,599,0.1125
GA,electricity,solar,CSP,2005,capital,599,0.1125
GJ,electricity,solar,CSP,2005,capital,599,0.1125
HP,electricity,solar,CSP,2005,capital,599,0.1125
HR,electricity,solar,CSP,2005,capital,599,0.1125
JH,electricity,solar,CSP,2005,capital,599,0.1125
JK,electricity,solar,CSP,2005,capital,599,0.1125
KA,electricity,solar,CSP,2005,capital,599,0.1125
KL,electricity,solar,CSP,2005,capital,599,0.1125
LA,electricity,solar,CSP,2005,capital,599,0.1125
LD,electricity,solar,CSP,2005,capital,599,0.1125
MH,electricity,solar,CSP,2005,capital,599,0.1125
ML,electricity,solar,CSP,2005,capital,599,0.1125
MN,electricity,solar,CSP,2005,capital,599,0.1125
MP,electricity,solar,CSP,2005,capital,599,0.1125
MZ,electricity,solar,CSP,2005,capital,599,0.1125
NL,electricity,solar,CSP,2005,capital,599,0.1125
OD,electricity,solar,CSP,2005,capital,599,0.1125
PB,electricity,solar,CSP,2005,capital,599,0.1125
PC,electricity,solar,CSP,2005,capital,599,0.1125
RJ,electricity,solar,CSP,2005,capital,599,0.1125
SK,electricity,solar,CSP,2005,capital,599,0.1125
TN,electricity,solar,CSP,2005,capital,599,0.1125
TR,electricity,solar,CSP,2005,capital,599,0.1125
TS,electricity,solar,CSP,2005,capital,599,0.1125
UK,electricity,solar,CSP,2005,capital,599,0.1125
UP,electricity,solar,CSP,2005,capital,599,0.1125
WB,electricity,solar,CSP,2005,capital,599,0.1125
AN,electricity,solar,CSP,2010,capital,518,0.17
AP,electricity,solar,CSP,2010,capital,518,0.17
AR,electricity,solar,CSP,2010,capital,518,0.17
AS,electricity,solar,CSP,2010,capital,518,0.17
BR,electricity,solar,CSP,2010,capital,518,0.17
CG,electricity,solar,CSP,2010,capital,518,0.17
CH,electricity,solar,CSP,2010,capital,518,0.17
DD,electricity,solar,CSP,2010,capital,518,0.17
DL,electricity,solar,CSP,2010,capital,518,0.17
DN,electricity,solar,CSP,2010,capital,518,0.17
GA,electricity,solar,CSP,2010,capital,518,0.17
GJ,electricity,solar,CSP,2010,capital,518,0.17
HP,electricity,solar,CSP,2010,capital,518,0.17
HR,electricity,solar,CSP,2010,capital,518,0.17
JH,electricity,solar,CSP,2010,capital,518,0.17
JK,electricity,solar,CSP,2010,capital,518,0.17
KA,electricity,solar,CSP,2010,capital,518,0.17
KL,electricity,solar,CSP,2010,capital,518,0.17
LA,electricity,solar,CSP,2010,capital,518,0.17
LD,electricity,solar,CSP,2010,capital,518,0.17
MH,electricity,solar,CSP,2010,capital,518,0.17
ML,electricity,solar,CSP,2010,capital,518,0.17
MN,electricity,solar,CSP,2010,capital,518,0.17
MP,electricity,solar,CSP,2010,capital,518,0.17
MZ,electricity,solar,CSP,2010,capital,518,0.17
NL,electricity,solar,CSP,2010,capital,518,0.17
OD,electricity,solar,CSP,2010,capital,518,0.17
PB,electricity,solar,CSP,2010,capital,518,0.17
PC,electricity,solar,CSP,2010,capital,518,0.17
RJ,electricity,solar,CSP,2010,capital,518,0.17
SK,electricity,solar,CSP,2010,capital,518,0.17
TN,electricity,solar,CSP,2010,capital,518,0.17
TR,electricity,solar,CSP,2010,capital,518,0.17
TS,electricity,solar,CSP,2010,capital,518,0.17
UK,electricity,solar,CSP,2010,capital,518,0.17
UP,electricity,solar,CSP,2010,capital,518,0.17
WB,electricity,solar,CSP,2010,capital,518,0.17
AN,electricity,solar,CSP,2015,capital,518,0.17
AP,electricity,solar,CSP,2015,capital,518,0.17
AR,electricity,solar,CSP,2015,capital,518,0.17
AS,electricity,solar,CSP,2015,capital,518,0.17
BR,electricity,solar,CSP,2015,capital,518,0.17
CG,electricity,solar,CSP,2015,capital,518,0.17
CH,electricity,solar,CSP,2015,capital,518,0.17
DD,electricity,solar,CSP,2015,capital,518,0.17
DL,electricity,solar,CSP,2015,capital,518,0.17
DN,electricity,solar,CSP,2015,capital,518,0.17
GA,electricity,solar,CSP,2015,capital,518,0.17
GJ,electricity,solar,CSP,2015,capital,518,0.17
HP,electricity,solar,CSP,2015,capital,518,0.17
HR,electricity,solar,CSP,2015,capital,518,0.17
JH,electricity,solar,CSP,2015,capital,518,0.17
JK,electricity,solar,CSP,2015,capital,518,0.17
KA,electricity,solar,CSP,2015,capital,518,0.17
KL,electricity,solar,CSP,2015,capital,518,0.17
LA,electricity,solar,CSP,2015,capital,518,0.17
LD,electricity,solar,CSP,2015,capital,518,0.17
MH,electricity,solar,CSP,2015,capital,518,0.17
ML,electricity,solar,CSP,2015,capital,518,0.17
MN,electricity,solar,CSP,2015,capital,518,0.17
MP,electricity,solar,CSP,2015,capital,518,0.17
MZ,electricity,solar,CSP,2015,capital,518,0.17
NL,electricity,solar,CSP,2015,capital,518,0.17
OD,electricity,solar,CSP,2015,capital,518,0.17
PB,electricity,solar,CSP,2015,capital,518,0.17
PC,electricity,solar,CSP,2015,capital,518,0.17
RJ,electricity,solar,CSP,2015,capital,518,0.17
SK,electricity,solar,CSP,2015,capital,518,0.17
TN,electricity,solar,CSP,2015,capital,518,0.17
TR,electricity,solar,CSP,2015,capital,518,0.17
TS,electricity,solar,CSP,2015,capital,518,0.17
UK,electricity,solar,CSP,2015,capital,518,0.17
UP,electricity,solar,CSP,2015,capital,518,0.17
WB,electricity,solar,CSP,2015,capital,518,0.17
AN,electricity,solar,CSP,2020,capital,492,0.17
AP,electricity,solar,CSP,2020,capital,492,0.17
AR,electricity,solar,CSP,2020,capital,492,0.17
AS,electricity,solar,CSP,2020,capital,492,0.17
BR,electricity,solar,CSP,2020,capital,492,0.17
CG,electricity,solar,CSP,2020,capital,492,0.17
CH,electricity,solar,CSP,2020,capital,492,0.17
DD,electricity,solar,CSP,2020,capital,492,0.17
DL,electricity,solar,CSP,2020,capital,492,0.17
DN,electricity,solar,CSP,2020,capital,492,0.17
GA,electricity,solar,CSP,2020,capital,492,0.17
GJ,electricity,solar,CSP,2020,capital,492,0.17
HP,electricity,solar,CSP,2020,capital,492,0.17
HR,electricity,solar,CSP,2020,capital,492,0.17
JH,electricity,solar,CSP,2020,capital,492,0.17
JK,electricity,solar,CSP,2020,capital,492,0.17
KA,electricity,solar,CSP,2020,capital,492,0.17
KL,electricity,solar,CSP,2020,capital,492,0.17
LA,electricity,solar,CSP,2020,capital,492,0.17
LD,electricity,solar,CSP,2020,capital,492,0.17
MH,electricity,solar,CSP,2020,capital,492,0.17
ML,electricity,solar,CSP,2020,capital,492,0.17
MN,electricity,solar,CSP,2020,capital,492,0.17
MP,electricity,solar,CSP,2020,capital,492,0.17
MZ,electricity,solar,CSP,2020,capital,492,0.17
NL,electricity,solar,CSP,2020,capital,492,0.17
OD,electricity,solar,CSP,2020,capital,492,0.17
PB,electricity,solar,CSP,2020,capital,492,0.17
PC,electricity,solar,CSP,2020,capital,492,0.17
RJ,electricity,solar,CSP,2020,capital,492,0.17
SK,electricity,solar,CSP,2020,capital,492,0.17
TN,electricity,solar,CSP,2020,capital,492,0.17
TR,electricity,solar,CSP,2020,capital,492,0.17
TS,electricity,solar,CSP,2020,capital,492,0.17
UK,electricity,solar,CSP,2020,capital,492,0.17
UP,electricity,solar,CSP,2020,capital,492,0.17
WB,electricity,solar,CSP,2020,capital,492,0.17
AN,electricity,solar,CSP,2025,capital,464,0.17
AP,electricity,solar,CSP,2025,capital,464,0.17
AR,electricity,solar,CSP,2025,capital,464,0.17
AS,electricity,solar,CSP,2025,capital,464,0.17
BR,electricity,solar,CSP,2025,capital,464,0.17
CG,electricity,solar,CSP,2025,capital,464,0.17
CH,electricity,solar,CSP,2025,capital,464,0.17
